7879	956f	3b91	be21
ded4	3a85	e9d0	03ea
3355	ff53	9d7e	dff4
b23e	12cf	e4c1	da82
7032	da71	3aac	e3c5
c41f	339d	4efb	0249
a7ca	b995	f859	fbdb
3ccf	7c68	1522	31d8
5204	4776	aec0	1a5a
31b7	b4f2	231d	9388
abf1	a09f	9bce	23d3
d22b	0ca8	cb17	b680
ef3c	2ad3	8feb	efd6
0aeb	f51f	5222	3dd5
f1eb	a845	4a42	5cae
9300	c472	f6e8	10bb
2316	d784	c994	7b7f
1fca	7834	126c	3984
476d	6fd4	385c	e97c
2bf1	eb28	8da8	1faf
65ba	952e	24d8	cf2e
346b	7902	010b	b50c
949d	e2b0	bb11	0323
cc62	83eb	ef10	8a03
afae	e927	46c9	36d1
3ff1	7d81	aae5	883c
2b1f	9f74	e538	7bf6
d19e	bce6	2c9a	9af5
6a74	0434	4fe3	e5bc
c767	00bc	91b5	1da2
1194	7637	8951	2ea5
7e16	5b94	7e4b	d821
caab	0636	8e92	009f
87eb	7842	55e8	c2e9
6314	fb47	a2b5	5c97
ffcf	31e6	a951	306d
abb1	bd7d	f532	64ae
d91d	f566	1899	ac13
9b0b	5877	3d3c	cdd2
7af3	93cd	ea88	76ce
65f5	b40e	95c7	0ff9
dfc0	0a52	367e	483d
9776	f13f	8474	a611
e28b	879f	72a6	6cb9
7f8e	bf07	98a2	9f00
0870	b986	e0e1	803c
0ae2	517a	da38	7ac7
1b9d	7ec1	8b88	9ccf
ce3c	3e31	be1e	f776
89c0	0588	21fa	2901
d094	1260	f31e	e6f2
d825	7a38	e84f	3212
d738	0a14	4eea	2b2a
cff5	8e11	a92c	3460
70e1	fddf	3eff	466e
9098	342b	887b	f40a
4a41	4afc	a876	08c4
7e68	b030	3653	bcd4
966e	1418	b6c9	5a2b
9e2c	c286	fce4	d588
ea48	e5d6	9950	c821
a03a	3d90	3e3c	6b41
2908	cfdb	9957	c1d6
ca31	1b7e	ea8e	5016
d9a2	b0d7	f9a3	1b54
295f	84d5	44f6	f8b0
058d	7f57	6082	fb9c
6cce	cadf	8349	d2d3
f673	6e7d	794f	fde8
489c	21d9	3693	d9b0
fe04	b58e	926e	f932
a854	8388	5ff0	14b4
707f	acee	4607	2c9f
cf90	ee2e	8723	d86e
c2f1	bd2a	f5ed	0f3a
07c7	eab1	ebc6	55d0
3246	d3c4	a1a8	bc07
df45	0e73	f585	fc72
dbd8	fcb0	4e53	c6fd
ebcb	0a4b	abae	5474
d4c3	f833	7075	063e
fde0	b014	cb35	0f32
96c0	ee7c	e3ca	e8c2
32db	cbcf	2020	9680
8f7f	aeb3	942b	5c6f
5963	854f	7040	494b
d690	1aa3	7d68	228a
abe8	7a42	6e57	9b37
5a73	fcda	3285	4325
bb5b	93ba	84b1	c3bd
bb10	8bd1	a3ae	925a
944b	2c02	7538	c3b7
0902	21ff	99d3	79f1
e226	8000	84ae	3499
7ea7	f37d	aa28	66b1
80fb	1a4b	e263	ad27
d512	f86f	e179	3be7
34f7	e0b0	9a65	a92f
a549	20ff	d7ac	5516
5e8e	3bd0	0eb0	3990
e9ad	9ec6	6599	542f
b166	732c	941d	5ee9
69b5	5a99	4e8b	a1b0
4030	712e	d8e2	dc96
13ac	8f7b	2811	a5ec
320a	e0b5	06ec	bef7
b4ed	f2d2	9725	cdfa
1bc0	2aac	9dea	a1c3
ca03	433e	a383	a697
7cb8	2295	0520	c0de
349b	538e	7812	2f77
203a	73f7	046f	f4af
cfe5	dde1	0a85	3af9
d8be	1013	9043	6140
e413	1b60	fa14	7c57
4060	40ca	6b3d	885c
c852	28fd	0ab2	a9e9
ebee	5836	2089	af2a
e3e6	9c9d	7149	4e68
1623	03cc	3853	b094
74bb	67eb	014f	6d38
24ab	0254	5076	45e9
982b	57e6	973c	5183
025b	a37a	4b3c	f717
a6dc	72e2	b25d	83a6
8bb3	b5fc	b401	7fb5
531a	c60f	b15e	21f6
48c0	ff00	2d0f	1efa
c4fb	a914	0ede	ec3f
b13b	abe1	0f73	06fb
808a	f799	2f17	ad10
0d62	fc6d	5e4d	2c6d
1c49	a056	50fd	80eb
5b9a	76c1	308b	11c3
4d3b	288f	efa3	e828
c757	cf65	ab88	409f
7db0	d71a	7630	4912
7891	f4f0	f049	fe97
1560	7898	6704	3300
6f06	11d0	3fa5	84f7
024d	5dd2	d6f9	290f
c811	661a	c898	5a68
b847	aa20	9448	96bc
8795	4034	aaee	c24c
a5d5	d56c	5eb4	4908
ea74	1efe	dabe	dc87
2318	ef33	28a3	3834
8325	5266	4e02	0534
d13d	d1f9	5d8d	374a
acee	8588	084f	5725
908e	2265	4cbe	01fc
2ed7	5735	af42	28aa
5d67	486c	7f27	bfcb
965f	4c89	16de	5adb
e174	961f	387a	0dfc
db57	5cee	16d9	607c
f941	bea2	05e1	f6c3
791f	d02f	1c70	6c3f
8131	953f	a7ba	63ac
9427	c130	c626	b2e8
6104	d8f9	7211	03f4
27dd	a89f	6c4c	f8cf
795f	69e6	8221	d245
1081	f547	55fe	e85c
3352	d856	6680	b621
cbb7	b694	8db2	4022
28f4	8fa6	6678	0f09
0309	bc25	c2c5	a8ac
94c4	29e9	1953	4e3a
50c8	3929	a960	1041
ce7c	57cd	e432	0768
9ce4	64d1	b8d1	ebc0
33bc	7855	5bf8	d089
6ab5	d2af	2329	3804
08b8	a100	a868	aef4
8701	b9e1	a09a	7fc8
69bc	3d51	f790	a9fc
6ee6	7963	82e4	5bbb
237d	097c	9113	620e
5d3c	ac59	d6fc	9849
9845	5454	b9de	e116
7c4a	cf64	f3fc	52ec
1525	7ae3	e8cc	2c9e
ef77	a5ca	0b17	64ac
b9cb	109b	641c	4814
afa6	4833	fc6b	51d7
1780	7f8c	f1ca	b61b
a154	f775	f0f7	5092
3a8b	b815	5645	d7cf
145f	f578	3fc8	fe58
60d4	918a	98ed	cbf9
b1a5	e36f	f5ca	4388
f97c	e82b	ef06	eca0
efd8	20df	d6f1	f801
3d18	3ae2	9458	0dce
f9ec	4be3	f776	13b0
7fc3	d292	b7e5	64e8
2663	3a6a	b91a	0906
9ead	0074	0b1d	16b4
2d87	3359	f0af	76d6
4c56	4840	d063	3619
c3c0	5371	4186	6c66
e72f	60fa	abfd	dc08
41c3	632e	f478	1209
a8e3	f26a	ace7	9fba
6c80	b965	a700	ce4d
0eae	2f83	5a5e	e629
cf58	81c2	63a4	6786
83f6	8a4b	dae6	80e1
7122	7c92	0af4	9859
59f1	8f36	27e3	95cb
7f04	c82c	19be	8662
5a70	04a9	5042	dbc0
96fd	a7c8	cbfe	2844
25be	6703	a4e4	fa10
469e	f09f	d5d4	e8cc
cf44	2ca6	1ae5	0436
371c	af2f	3ea5	26f9
3ba4	7b48	e030	8d2d
1aa6	3c4b	b094	defe
5dc4	4bbc	56c8	6f74
42c3	2598	7f81	1c94
eb1f	b6f6	6533	935a
0478	b260	dd88	9d2c
caf1	0a9e	da0f	38c3
082e	81eb	8c5a	c22f
3fa1	2ef5	eacc	ecc3
d4ed	b566	b9f3	f0bd
b5e8	8ab3	90c0	5993
c82f	da7c	9ee9	8987
f64e	837c	7e49	4b70
5ff4	c9b6	d444	805d
0b14	5555	f7a6	92a7
6666	6ded	56db	efe1
3759	0c45	12e1	085d
f3e7	e3bb	7751	2232
8c5f	f5ee	cfb0	9476
e81f	e3ae	8431	8d3b
aa2a	7ab6	eb5b	e859
6b25	6cc0	19a2	6c8d
5027	1517	fc04	f03a
fa17	2162	f558	04f8
2daa	f76b	78d3	aa22
f3a6	f64e	aa43	eaaa
a72b	b100	41da	c350
d8f3	93ea	4a4b	89b6
0c4d	b763	3a9a	cf98
a4b9	4d0e	3656	8980
dc8f	8c22	2771	8ad4
0c54	23a5	0f42	68ac
5d82	1d13	2b26	6c85
906c	491c	b8ed	3405
5c1d	4a58	1d4d	2687
1b0f	065a	7ca1	d2a5
38e3	5ae2	a672	6cdf
8f67	6265	2d38	4241
822c	ff64	d88c	7fb5
951b	1ea0	f6ec	ec38
c518	b9a5	303b	5c56
e566	57d3	bbbd	d88a
9ccd	ca77	f933	c01a
4c0d	c920	9a46	ac94
c13e	125e	a0a6	18d4
8c90	2a41	a645	b8b1
8d0a	70c4	b4a2	5fa1
f04b	3d08	90cd	5358
ae86	4e50	9f51	0d91
ca37	c566	c6a3	2ed8
89da	11b2	34d5	2a4a
f7c8	d22f	579d	47e9
96c0	d18d	c015	f35f
77bc	af2f	c530	8991
9fa6	f922	662b	da83
293c	8582	8e9f	8711
71f0	e1e6	9b7e	de4a
c78d	b9dd	046c	7e35
809f	99f8	c54a	af7b
f962	b0c1	d350	702e
f883	e419	1611	221f
22b8	8812	6c78	2695
214c	2c34	87f1	0f15
cefa	f76d	adcb	a955
02ff	a36e	0609	e7b7
e165	e2e6	57a1	6b8d
d544	a2d0	4699	af69
771b	c563	ef63	b0ac
bbd8	eceb	04a9	b999
0f50	074a	c9b5	481b
8e01	fb24	b4fb	42bf
4d8a	48da	ba86	2a05
f082	23fc	a5d5	be7e
dad0	64e4	159d	1450
84c0	9a38	2175	eb7e
422e	bd86	44b8	7919
6b6e	214e	aa43	d06d
3398	f549	46e6	c998
c4da	2c39	55df	53c4
11ab	f5bb	ee30	8db5
0b70	90e0	156f	d9d4
7e19	0ecd	7c96	b10c
30e3	4192	9fff	ff45
57bd	f663	b8b2	3196
c101	97e8	475f	6b22
bf1f	43cc	a396	56a5
88bb	b17f	3a66	0ba9
622b	8cfe	a346	7f1c
96fe	2cf0	b149	bf58
9e54	cb9a	bd74	65ce
a502	a6dd	53a8	86c5
1e2b	7cc0	6f96	1219
135b	20bd	59f1	3b3b
3a44	4441	07e8	b91e
e2ac	2358	17c2	788f
0a8d	a876	1a40	5282
fa5f	7f05	a295	6651
2b29	e3b0	980c	232d
4c0d	84f1	1298	54bb
3eed	cd81	ebbb	879f
98ec	c303	c052	9e8c
9038	b132	9f1b	d381
e1e5	95fc	3846	3de6
18e8	bad7	b78b	f2cd
0ac9	cbfb	7acb	a4bb
3060	a41c	81df	89d4
1ed3	ba13	c1cf	2956
d5d3	bdbd	f6ff	2888
f9c6	3215	e8ba	764c
e3d4	7eab	1ab9	a24e
9c42	1c66	97c3	3db6
16b5	7bad	8487	dba4
501f	b3d5	4b3c	f1c4
9c8f	f54a	ea1f	49d4
a4de	9e91	eac7	a099
cd49	ec87	9ba4	444c
10ad	01ca	b410	8e9b
3044	f2de	d3f7	d2e7
ca35	33ad	0708	19ea
37b0	a0ec	c7f8	271d
3514	d0ad	4d95	1550
056b	62f0	4f75	f2c4
f4c5	2585	654d	dfd4
ef62	6463	bd82	9628
0d36	eb57	1381	d989
c996	29d5	e013	717d
e8ec	93d9	3698	ae3d
e0d6	c4d1	720f	9085
2137	a96a	1768	0bde
245a	b22f	e590	efd9
e7e2	32b8	d804	2a00
5d77	f487	8409	2023
1d06	5ab6	b69e	7e18
ddd2	79dc	5aac	b90e
12c5	0905	8bbb	d1b9
2b95	0a20	9c5e	0445
c9ee	a124	8b71	dc97
ad4a	6f90	8cca	e1a8
5c97	4797	899f	dddc
65b4	5bde	6338	a884
d365	8ddf	8344	d042
6443	2a6d	dad9	48d7
93a5	6448	c08e	2458
0bfe	6254	bc5e	659d
6c1f	c913	37ef	0e97
9345	a17c	b5bb	2035
0036	e4f8	593f	603a
ddac	bce4	09f5	bcb1
d253	1503	9fb5	6c87
0d1c	11cf	205e	2a5e
4c39	a10d	058a	8505
00ea	eb06	9d71	c841
863e	693a	4808	d347
1fb2	2c2f	c80c	5a4d
fd01	66fc	62e2	cd95
bcf9	f249	12a7	df94
73af	a825	1139	f211
6f83	f72a	d218	7c32
2ce8	b520	679c	834f
3c15	9a25	a3e4	fe12
8073	ed0c	f654	4223
8027	a49a	d951	16fa
5d5b	d090	827f	a2f6
8b22	b4e6	6ca5	ec8a
6438	c8a0	f51f	bfaf
9505	888d	b24e	74da
0ea0	d398	55f0	5cca
f4c7	2e72	534e	d7b7
ca88	8575	418f	d001
c5c5	13cb	9773	3448
783d	d301	0be4	e7d5
be76	1953	9a03	d203
5918	7d43	fe69	8952
25ea	b06a	6df4	5cec
879d	c233	6679	1571
5f20	7493	5f10	8583
a987	bebd	e9e5	296a
a0f4	03bd	5446	597c
2c75	0ff4	6360	9c7d
24f5	0587	3614	c82f
44dd	9986	1d19	f39a
ae07	f265	eee5	becf
a367	f6fe	3602	e16d
89e2	a589	e9b9	73e3
a5f7	b6aa	8df5	35ff
6dbb	78e2	e39f	6ebb
6ec2	5783	5d17	f4c7
2164	1f16	5df1	7da6
f23f	505c	b582	8a27
7b72	1a5c	2c0c	ed62
3e43	2981	499a	1955
7e3c	5432	2f58	bd27
be2c	e654	b739	9e53
8fe6	8c56	aaf0	c538
80da	bf31	f202	3347
a621	5bf0	0608	40fc
3cbc	2d77	1720	fbc9
e375	2c6f	ec83	c54c
e509	fdf3	7abc	69b9
8b30	88d9	e744	3b38
952f	9db4	e44f	698d
57eb	51c9	da68	3de0
515d	dd70	b94e	c605
baf3	df83	c3f2	5079
0e6f	9492	fdb4	afbb
3a78	239f	041c	33fc
b123	39cf	b20f	d835
4bc8	797b	8b42	f663
69bd	d15c	98e5	dd40
b414	7b29	74de	c46d
4772	4c18	3d60	9087
3e2c	b613	ccac	681a
cc35	b6ee	3139	807b
9f60	ae93	4c09	220b
ce89	74d3	4d2c	f990
5f61	12c0	9bc1	da9e
f2d6	70a1	5ba0	cc8c
0262	f662	970b	ebab
738b	88b7	4a18	a25c
bcb3	2b39	2bf8	ab2a
b71a	459a	3775	6f1a
3512	5028	0891	417a
488b	f397	91b2	3c4f
0173	839e	1eba	d91d
c328	b4f0	ab9e	02ee
3698	2333	7c88	f347
c867	7d99	a8f3	f7e9
6d52	0232	0ccc	47e5
23af	059f	3d24	fb8d
08e8	d9a3	bf28	c368
d3a3	5e3b	379f	b8c2
a5ee	810f	403a	5552
a0d1	7bc4	ec95	957f
5c68	6397	246f	e77d
b6d1	7016	ad90	2d88
be26	3652	da90	5848
2998	7d5e	3c9c	e2a4
4865	7370	677c	14e5
5c84	5582	3403	c42b
772b	76c0	1ec7	10ad
24c2	a0a6	f481	3e25
bb3f	05c9	e820	356b
06fe	779b	581a	6d06
311c	eda3	f479	a8a4
c6ba	6286	d767	de39
ca3c	0d41	df9b	9b4b
ae32	06d4	9926	14cc
4134	477a	cb33	3c0f
a3f2	1ef5	0d4b	f400
8d0c	946a	797f	7edf
c08f	ad7e	4367	971b
da12	68c2	6bc3	3e03
f3c4	138b	a9d3	0e3f
fe5c	29ec	b578	8efc
96af	99d0	e2af	e696
d740	e3e4	8f3d	f176
60ea	2b85	070d	d895
4be0	ef18	cc1b	e4fd
9ffa	1e85	ef28	bba7
c24e	1350	d5fb	17a9
5220	0c81	23d4	9879
1b2f	8c1f	8bab	3781
868f	c69d	db9d	317e
5ea2	08d4	d447	df54
02e6	39e5	8d56	d2ff
1edc	7f38	f6be	252d
321d	fc5b	e60f	8e5a
525c	8110	7464	c775
873a	03cf	1767	abfc
85ec	22e4	3d54	4687
b4ac	597a	734d	ff51
df40	d786	08d2	9ac7
5b3c	3dc8	6228	b380
086f	82c2	d391	1b48
3a6e	cbc7	685a	84ce
860a	8fe8	8f44	92e7
873e	0f84	0b43	0151
ed7c	543e	c1da	5f3a
2e72	19fc	0f82	0f21
a72e	24a5	0dbf	4915
b549	00a7	860c	aeae
5333	adb9	0774	bd40
b6ba	272c	8f29	330a
74cd	cc29	336a	3669
58ef	4bb5	5647	40b1
1a2f	73f7	54cc	fee8
95df	bdf5	7f73	3c0e
3dcc	1a55	8eb7	2404
eb65	809c	8fd8	2d9a
435e	7b57	c097	583b
125b	193d	10aa	e18a
63ff	b161	59ca	ece9
06fb	1b31	7e93	0acd
7b6b	9dc3	d3bf	b9fe
f78c	0ccf	9765	0be8
df25	c960	44ec	7873
0250	ce5a	1c6a	be23
958c	9014	ba11	3ba9
66b1	7cc0	befa	1250
9b0e	ca02	ce8d	47a7
2d62	01b6	2a40	b878
65d2	d334	8548	35e7
7d8b	413b	83f2	4369
a220	1b89	b060	2355
634d	8fae	7558	f375
d31b	a792	f233	0498
59f6	aec5	dd35	73da
cb54	b8e8	0355	e741
e648	7fe2	8537	4771
7831	492f	293a	f28b
e1f2	898e	9ed5	cf45
448d	818d	a4dd	cefa
4c04	0cdf	7f72	dd24
0f40	224d	dbd2	8f7e
afe0	0620	6b17	bbc0
3f1a	0874	0ff5	b465
ebdc	a376	8bea	5547
c589	0981	8931	ded6
1621	8b90	8042	9317
37de	3fda	55e0	c1b7
b7ce	25e6	092a	9e61
76b7	742b	34eb	6db0
4caf	524c	b89a	a44f
039b	e8fd	cfe0	d1e4
22bb	1372	523c	bc79
6d07	75bf	36a8	f361
8683	3510	1e21	3045
1941	e24d	eb60	4576
c971	1c1a	004f	a341
34f2	d279	8f1b	6e23
dd44	5e86	377a	e111
c3eb	14f4	5817	c33d
c54e	b9b0	7716	acea
489d	9d65	a57c	ffb2
f2c4	047f	c1ea	a2a7
c292	0d62	ef3c	4c3b
a023	f736	5f16	edcb
1db9	1018	178c	98d8
5967	2a01	6b8e	ea2e
5e3a	191f	3cf0	0f5e
da51	572e	df68	ec7d
93ce	f1a6	914c	29f4
849d	4496	16bd	35d0
bd3f	b92c	a88f	50ab
8c55	c1a0	1d15	9cae
ee47	1d74	d9a9	73a2
1cef	379f	dc45	f9fc
3d6b	3f5f	2edd	6812
147f	0f84	2258	64dd
2d51	5f05	15a4	59fd
745f	a2b7	cbc0	553b
9809	4848	89f9	e1b9
612c	6572	1ac9	f021
9eb4	81c0	e7d5	6a32
749a	b934	a9b9	37b3
506a	59d4	f53e	78f0
2cb2	c435	2cad	14f6
bc13	83bf	201d	6c4a
7e86	07d1	f950	0801
b209	d02d	e40d	c352
3cd1	6d8f	849a	488c
3a15	1f29	bc79	06ab
711e	f6bc	7087	5a91
6e8a	cf17	e321	360a
a07b	fb24	b429	6133
bc26	acee	fc0e	cf23
d123	5765	e1f5	f5fb
11ad	42d5	4448	6d71
3b1c	49ce	270e	15e2
8d74	07fb	3b6d	8a04
edf5	7d4b	14f5	42d1
29a8	0ddb	3bd9	0a7f
216f	e0a6	bc7f	c165
9f42	fcba	3ee3	b456
56fd	93ec	198b	b7e4
af6f	10e7	18e6	c740
96da	aef1	1827	27a6
1738	4684	0b4f	4bc4
aadb	d484	74a9	6232
bd9a	38bc	299c	f582
6725	63de	9011	c14f
eceb	12b2	f3fc	22ba
8e29	1b65	48ea	7b96
ee47	2b33	7140	c885
5390	1d13	20d1	c8ca
2da8	9cf5	5856	4a35
f9eb	f3b8	7545	a014
186f	deaf	f0dc	92d4
ddf8	747c	6ddd	b9ad
bebb	bb46	b514	19c3
bbac	c1a1	99fe	8127
373a	b08e	232e	237b
56ac	0caa	41a9	5a58
e17d	0a92	db4b	b05a
7abe	c58e	e510	aa7b
1501	a585	3bb9	adab
60e3	312d	3ba8	0d15
f3dd	6ee3	1832	9b7b
87ba	8adf	743d	7efe
a47c	cde4	4ab6	1f8b
5de8	501e	28e9	6511
7fa9	4d68	638c	3b9c
b835	3de7	444a	ee09
1d63	abfa	5083	da73
d7b1	4ec7	2839	5d81
8eda	d8a8	a338	659f
7d74	73b6	384c	0061
6086	4c0b	90ab	778e
4243	2d03	f86d	d0cb
0fea	47fd	ea61	fd23
f184	bc11	d746	ca05
6cca	a91e	154b	b39a
f7c8	5013	70f1	f3a3
dfed	f35a	5061	bc20
ac03	b040	c47f	aa89
e220	0d63	a514	0d46
450d	c92f	638c	4f10
a457	810a	c191	6e14
1377	9994	5e91	e4c8
1a42	425b	4068	a1a6
b6e4	278a	96b1	b6e6
df5f	8178	76c7	b44e
db88	b455	e55d	6d38
f3b2	49cd	f846	0bf6
2a9e	e65a	b90f	2f33
88b5	efcf	393d	8c72
e5f4	1b9c	2db5	d460
74fc	0871	4bf3	9ddf
8137	c20a	2548	f781
7c19	c263	8c7f	c1ae
dd97	9ccc	1e95	0fde
5e13	d8da	ffce	369e
09bd	fc44	24a4	8cda
9e5b	4ee0	ed56	0378
0ddc	91cf	5a74	3208
6fdb	971e	d2a9	665c
abd3	8bc4	7885	2ed1
bdda	7b16	a000	cf40
94ec	f04e	a96f	873b
962b	0d66	485a	fc8b
3b14	f08f	7198	14bf
0849	cc63	3102	0413
a86d	e9a3	f494	d58b
0f56	237d	1668	28da
cbf3	24fb	1d97	722e
c6b1	a8ea	12a4	ae52
d366	02fb	5a91	869f
4eab	094f	165d	4edd
d9b8	1c37	d376	4be2
8130	f970	ddf8	738b
8e00	6469	e3d0	812e
e1cd	9f80	f7f5	3889
3ce5	0572	e285	fd30
08a3	58e3	9c2b	00b4
4e96	46c0	76d3	e41d
599a	59d8	05c3	e952
cba7	a076	1643	aba3
77fc	a8d8	8736	19bd
dec7	4193	f46d	58b3
adf7	3731	69e9	3dbd
c90b	8a46	f5fc	a922
8588	8bd0	0cd7	89d0
87f3	fe8c	7275	a644
e248	46d9	a34c	c390
5600	81b6	b7e0	121f
abe2	021f	c4d3	547b
6d13	a6aa	875c	0f32
76f1	12a8	5f5b	ec67
360b	713c	64c3	0ba9
48d0	d24e	580d	5dd6
5e87	b148	09a5	4c1a
17ca	5496	d8e1	e05c
9269	821a	3a97	a37e
517e	43b2	fb94	f155
0689	f68d	6261	faf9
0eeb	c689	f167	95e3
a8ca	98de	7785	367e
c76f	ef23	1b94	3b2c
41ec	5cde	caa1	2fd3
a730	c023	4383	8909
9691	6eef	6ab6	dabc
8568	d3af	7f57	401b
8585	f978	6a8b	5745
f68b	5360	8a95	1964
3115	417a	4384	a399
d616	c7c2	326c	9596
2680	5768	a636	92af
fcac	ccb0	8a89	634b
73da	fb07	f408	10fc
af77	9fb7	b46a	688a
e9ff	c642	e698	8bc6
69f6	5728	4601	4bee
c6a5	c245	e04a	5743
dce5	d8ad	532d	5b26
d4b5	dd98	e5f5	1b1a
6539	554f	33fb	a0a5
fea7	97fd	396b	e5a8
7fee	f379	56f3	3adb
5beb	ff8e	aba9	f49b
a507	c51c	b133	bf76
6e93	f128	fa58	188d
277f	2a48	3368	8216
f8d9	70e4	08c5	99db
b8ac	8d88	19a0	cac4
72fe	149c	85c3	f092
4ee9	543e	df49	d074
a03a	28c8	3e7b	06b5
f045	2f27	e685	a61d
1a95	fa30	2681	9848
2ac3	a031	3567	65b4
6606	1d92	eab0	b5de
6557	b7a9	3a92	49aa
e277	458e	32a9	a2ef
ceea	cb8f	6cf6	d36b
4a4c	cd1e	ddee	53ff
6768	f5b6	3a57	019a
6ac0	39b4	a500	f1a7
a31b	95c0	248f	89e4
4ab6	18b8	383c	dbb9
ad6e	2f95	4fa5	14b0
af33	2ef5	37ac	98c3
2a39	761b	a12f	ff1a
e9e9	7c4b	fbe5	aa22
926e	b1f9	2cfc	90e1
f498	3089	0812	532d
e230	7605	cb18	0d35
8196	2b61	1c47	9b4f
c306	07db	eef4	808d
fc5d	51db	cce2	3ff3
813a	ffe5	c112	cc89
4620	54fe	812a	7481
8135	a1f5	a19f	c645
7694	1d4e	3c40	88a5
b52a	51fa	4a2d	e496
7e27	0933	0ef1	ef43
ab02	fca2	0e94	be06
7a59	15eb	f320	b793
cdb6	4bfc	2fce	96e0
e21f	ad18	9d57	5f01
3e07	2686	b426	d295
ac6b	c77c	41bd	6457
7cd6	1f14	536e	c536
675c	8f14	24a3	c802
47ab	d2c9	cb3e	cd91
6d08	2294	ae2d	80aa
0ff2	7f48	ead2	e5ec
bfe4	8c97	615f	70f1
4a78	da3b	7a6d	7741
f3dd	a8cc	60b4	ab8c
70ba	a974	fd2e	6148
2b97	315f	db4b	608d
ad64	63d3	ebb0	6677
dd14	41a2	8d79	e835
ef22	d0ba	ac7c	845d
353c	d28a	4a13	e6ac
5457	7e96	18c2	6f8c
c80f	5136	9e6f	58d9
56e7	2f52	fbac	df5f
26be	fef3	8dd4	9e97
8d86	cd18	67ee	6ca4
2261	ed58	01c8	6dca
3ed5	5e64	3830	83ed
afdc	819a	148b	e1df
eba6	e144	67f2	9b28
3994	6212	9e2f	9537
9ae6	b7d0	4123	40ff
bc61	ae85	eecf	d8fd
4f17	241a	cd61	0d28
3e7d	e965	5d89	d37a
e53d	803c	858c	b716
97d7	082e	9351	bf88
7d2b	cba1	0846	70bf
3fda	5c14	decb	bb6f
3750	3cfa	9378	fb15
fff0	9e13	e239	775d
e528	1a72	ebd8	e936
da19	188f	b611	071b
47d2	3476	2dab	4fc7
6399	0693	2176	0331
a1af	0858	884d	c7bb
695c	de64	b68f	eb2e
d4ae	9408	a99b	c4bb
763c	479c	c68d	28ca
60f0	fc59	941c	a73c
f811	6d2d	5c54	521e
d124	785a	e2ba	cea2
ba77	e44d	8420	fcc0
ce40	d396	8a01	8ed2
b732	369d	af01	6424
f1ec	607f	f5e0	4b34
368c	f5d8	5c6f	2d1a
6716	a033	23a7	9e3e
7c8b	aa0f	51f3	4ec3
22d8	e750	8a0a	a881
1dd5	e01a	980c	dceb
4866	c48d	e3d4	e885
062e	327c	9cd5	cd36
8bd0	72dc	b53c	87e9
a79d	d7a3	6312	d199
e0cb	ed29	8e04	f81a
679d	81f2	9598	3fee
fb8f	eb6f	3a1d	eca6
cd18	e794	6de0	4b8a
2372	e26d	9603	fbc8
f2a5	4a3c	df13	a50e
1a4c	c735	8380	e84d
8a06	a944	c684	5861
97e6	b67f	f159	af69
454e	a1c3	c78f	80da
af0e	fe94	48e8	bc9e
732b	5bfe	3f35	e5d0
5812	6d50	8a20	a98d
34d3	b4f1	ee07	3ef9
6d26	d64a	2380	0069
afd4	db24	3092	d2dd
645f	6584	15ba	a4c9
8848	bdc9	69b1	ac96
7470	492f	7cb6	8e82
e883	1e7e	71af	300c
8b93	d567	d05e	7920
f96b	2033	70c5	07ed
50d4	1736	aa45	a211
4aa3	876b	a4ed	2e69
fdb9	5328	d03e	b23d
c915	ecee	3b2e	1b5a
ea6e	9fd4	e536	d0f2
c364	1663	c8b7	e83f
4714	6799	4d25	2c74
f6fc	d3a7	34f0	9de8
8034	83ed	0f9e	0376
e22c	a530	d4c6	40f1
884e	deac	8097	0c01
cbba	dadd	eccf	a78b
f4f9	b448	7d86	dd3b
dff5	0a83	f8bc	e262
bc55	1bff	aafe	1785
4245	803d	942b	91a7
d6dc	d55f	03fd	40b7
ade4	5da4	1c84	8a4f
82de	fede	7ced	9d84
2b11	fbc8	3acc	30ce
29b2	1d76	3ead	7773
95d6	55de	b5c4	3b9f
df8c	f57d	e620	a4a9
aeee	070b	e48b	c3c6
9579	a987	b439	005d
a2b7	1476	e995	a460
056e	f0c5	7bd5	c537
09ff	f468	6a65	7391
711f	6485	31d3	3be3
9ba0	7ffc	8790	9b6a
dc07	cc49	4fe6	070e
b0a5	282e	aab0	fe5b
0ec0	044f	11b1	b79f
a8fe	7e0f	5bd0	f8e8
9bc4	ac0a	7f47	a5ef
5d9c	0403	202d	f71d
0207	9d81	754b	cce9
de90	1b33	2fd4	e0a5
a65f	4e6b	23c7	2b11
3de6	94dc	c9d1	c793
39e0	5ad0	d8da	dfec
0d78	e5fa	c4db	aba5
229e	a90e	46bf	8675
8a72	7041	02ec	0740
fae8	8af9	dfdf	3341
f56f	a7a4	5356	117b
4e6a	8793	d2e3	f831
2ae6	534c	a46b	e4fc
f496	494a	7a25	d629
0c07	f6f5	e9ed	f70e
56c2	4694	9e51	6314
c824	78a1	3398	cf62
1994	eb11	1de2	7bc2
f0af	3548	9d39	e03f
1cb1	5da7	8206	0e37
7e48	a2a4	0b2e	fec4
2459	1b1c	0861	e63c
fd67	f9e3	7c1e	3880
def2	9322	3b4f	5716
9321	f99b	c172	2604
c1a1	a2d2	08f4	45a3
da59	69ce	df7c	4960
3222	a8fa	cb69	25f3
a51c	c2b4	ae7b	513e
